# Black: TCG-HollowNoGo-Demo
# BlackCommand: ../pj-4-code-v1/nogo --shell --black="mcts N=5000 c=1 simenemy=a"
# BlackLabel: TCG-HollowNoGo-Demo:2021
# BlackVersion: 2021
# Date: December 12, 2021 at 11:08:58 PM CST
# Host: NV16 (Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz)
# Komi: 0
# Referee: -
# Size: 9
# White: TCG-HollowNoGo-Demo
# WhiteCommand: ../pj-4-code-v1/nogo --shell --white="mcts N=5000 c=1 simenemy=random"
# WhiteLabel: TCG-HollowNoGo-Demo:2021
# WhiteVersion: 2021
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
161	W+R	W+R	W+R	0	-	62	9.1	9.6	0	0	0	
162	W+R	W+R	W+R	0	-	60	8.9	9	0	0	0	
163	W+R	W+R	W+R	0	-	62	9.4	9.4	0	0	0	
164	B+R	B+R	B+R	0	-	61	10.2	10.6	0	0	0	
165	W+R	W+R	W+R	0	-	60	8.8	9.5	0	0	0	
166	B+R	B+R	B+R	0	-	59	9	9.8	0	0	0	
167	W+R	W+R	W+R	0	-	60	8.6	9.2	0	0	0	
168	B+R	B+R	B+R	0	-	63	9	9.6	0	0	0	
169	B+R	B+R	B+R	0	-	63	10.8	11.8	0	0	0	
170	B+R	B+R	B+R	0	-	59	9.3	10	0	0	0	
171	B+R	B+R	B+R	0	-	63	10.1	10.6	0	0	0	
172	W+R	W+R	W+R	0	-	62	9.1	9.7	0	0	0	
173	W+R	W+R	W+R	0	-	64	9.1	9.6	0	0	0	
174	B+R	B+R	B+R	0	-	63	9.1	9.8	0	0	0	
175	B+R	B+R	B+R	0	-	61	8.8	9.4	0	0	0	
176	B+R	B+R	B+R	0	-	63	8.9	9.4	0	0	0	
177	B+R	B+R	B+R	0	-	65	10.2	10.7	0	0	0	
178	W+R	W+R	W+R	0	-	60	8.8	9.3	0	0	0	
179	B+R	B+R	B+R	0	-	65	9.2	9.8	0	0	0	
180	B+R	B+R	B+R	0	-	65	9.4	10	0	0	0	
181	W+R	W+R	W+R	0	-	64	9.1	9.6	0	0	0	
182	B+R	B+R	B+R	0	-	61	9.5	9.9	0	0	0	
183	B+R	B+R	B+R	0	-	61	9.8	10.7	0	0	0	
184	W+R	W+R	W+R	0	-	62	9.3	9.8	0	0	0	
185	B+R	B+R	B+R	0	-	61	8.6	9.3	0	0	0	
186	B+R	B+R	B+R	0	-	61	9.4	10	0	0	0	
187	W+R	W+R	W+R	0	-	62	8.7	12.7	0	0	0	
188	W+R	W+R	W+R	0	-	60	8.6	9	0	0	0	
189	W+R	W+R	W+R	0	-	58	8.6	9.1	0	0	0	
190	B+R	B+R	B+R	0	-	63	9.5	9.9	0	0	0	
191	B+R	B+R	B+R	0	-	61	9.4	10	0	0	0	
192	B+R	B+R	B+R	0	-	61	9.1	9.4	0	0	0	
193	W+R	W+R	W+R	0	-	62	9.1	9.7	0	0	0	
194	B+R	B+R	B+R	0	-	65	9.9	10.6	0	0	0	
195	W+R	W+R	W+R	0	-	62	9.2	10	0	0	0	
196	W+R	W+R	W+R	0	-	62	10.7	11.6	0	0	0	
197	B+R	B+R	B+R	0	-	61	9.3	10.1	0	0	0	
198	B+R	B+R	B+R	0	-	63	9.2	9.7	0	0	0	
199	W+R	W+R	W+R	0	-	64	10.3	10.8	0	0	0	
200	W+R	W+R	W+R	0	-	64	9.9	10.5	0	0	0	
201	W+R	W+R	W+R	0	-	62	8.8	9.2	0	0	0	
202	B+R	B+R	B+R	0	-	61	9.2	9.8	0	0	0	
203	W+R	W+R	W+R	0	-	62	9.1	9.6	0	0	0	
204	W+R	W+R	W+R	0	-	62	9.6	10.3	0	0	0	
205	B+R	B+R	B+R	0	-	63	9.2	9.9	0	0	0	
206	W+R	W+R	W+R	0	-	66	10.4	10.7	0	0	0	
207	W+R	W+R	W+R	0	-	62	9.1	9.6	0	0	0	
208	B+R	B+R	B+R	0	-	61	8.8	9.2	0	0	0	
209	W+R	W+R	W+R	0	-	62	9.1	9.6	0	0	0	
210	B+R	B+R	B+R	0	-	63	9.5	10.3	0	0	0	
211	B+R	B+R	B+R	0	-	63	9.5	10.3	0	0	0	
212	B+R	B+R	B+R	0	-	57	8.5	9.1	0	0	0	
213	B+R	B+R	B+R	0	-	61	8.7	9.3	0	0	0	
214	W+R	W+R	W+R	0	-	62	9.3	9.4	0	0	0	
215	B+R	B+R	B+R	0	-	61	8.7	9.1	0	0	0	
216	B+R	B+R	B+R	0	-	63	9	9.6	0	0	0	
217	W+R	W+R	W+R	0	-	62	8.9	9.3	0	0	0	
218	W+R	W+R	W+R	0	-	62	9.9	10.4	0	0	0	
219	W+R	W+R	W+R	0	-	62	8.9	9.1	0	0	0	
220	B+R	B+R	B+R	0	-	63	9.6	10.1	0	0	0	
