# Black: TCG-HollowNoGo-Demo
# BlackCommand: ../pj-4-code-v1/nogo --shell --black="mcts N=5000 c=1 simenemy=random"
# BlackLabel: TCG-HollowNoGo-Demo:2021
# BlackVersion: 2021
# Date: December 13, 2021 at 12:28:28 AM CST
# Host: NV16 (Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz)
# Komi: 0
# Referee: -
# Size: 9
# White: TCG-HollowNoGo-Demo
# WhiteCommand: ../pj-4-code-v1/nogo --shell --white="mcts N=5000 c=1 simenemy=a"
# WhiteLabel: TCG-HollowNoGo-Demo:2021
# WhiteVersion: 2021
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
220	B+R	B+R	B+R	0	-	61	9.6	8.8	0	0	0	
221	W+R	W+R	W+R	0	-	64	10.3	9.2	0	0	0	
222	W+R	W+R	W+R	0	-	62	10.8	9.9	0	0	0	
223	B+R	B+R	B+R	0	-	63	10.6	10.1	0	0	0	
224	W+R	W+R	W+R	0	-	62	9.2	8.4	0	0	0	
225	W+R	W+R	W+R	0	-	60	9.3	8.5	0	0	0	
226	W+R	W+R	W+R	0	-	62	10.5	9.6	0	0	0	
227	B+R	B+R	B+R	0	-	61	8.8	8.1	0	0	0	
228	B+R	B+R	B+R	0	-	63	9.1	8.4	0	0	0	
229	W+R	W+R	W+R	0	-	64	10	9.4	0	0	0	
230	B+R	B+R	B+R	0	-	61	9.5	8.7	0	0	0	
231	W+R	W+R	W+R	0	-	56	9	8	0	0	0	
232	W+R	W+R	W+R	0	-	66	11.9	11	0	0	0	
233	W+R	W+R	W+R	0	-	64	9.9	9.1	0	0	0	
234	W+R	W+R	W+R	0	-	62	10.4	9.6	0	0	0	
235	W+R	W+R	W+R	0	-	64	10	9.3	0	0	0	
236	B+R	B+R	B+R	0	-	61	9.1	8.4	0	0	0	
237	W+R	W+R	W+R	0	-	64	10.5	9.3	0	0	0	
238	W+R	W+R	W+R	0	-	64	10.5	9.5	0	0	0	
239	W+R	W+R	W+R	0	-	60	10	9	0	0	0	
240	W+R	W+R	W+R	0	-	64	10.7	9.6	0	0	0	
241	B+R	B+R	B+R	0	-	61	9.7	8.8	0	0	0	
242	B+R	B+R	B+R	0	-	63	9.1	8.5	0	0	0	
243	W+R	W+R	W+R	0	-	64	11.5	10.3	0	0	0	
244	W+R	W+R	W+R	0	-	60	9.3	8.5	0	0	0	
245	B+R	B+R	B+R	0	-	63	9.7	9	0	0	0	
246	W+R	W+R	W+R	0	-	64	10.7	9.9	0	0	0	
247	B+R	B+R	B+R	0	-	63	10.3	9.6	0	0	0	
248	W+R	W+R	W+R	0	-	62	9	8.4	0	0	0	
249	W+R	W+R	W+R	0	-	60	9	8.2	0	0	0	
